ax (m/s^2), ay (m/s^2), az (m/s^2), gx (rps), gy (rps), gz (rps), temp (C)
0.32561, 9.80186, -0.12689, -0.00440, 0.01772, 0.01359, 32.24690
0.35674, 9.81383, -0.08859, 0.00426, 0.03091, 0.01919, 32.24690
0.33279, 9.81623, -0.17478, 0.01466, 0.02638, 0.02078, 32.24690
0.33519, 9.84017, -0.05507, 0.02758, 0.02718, 0.02372, 32.43858
0.29688, 9.84017, -0.12689, -0.02438, 0.02052, 0.01346, 32.29482
0.30885, 9.74440, -0.16041, -0.01252, 0.02864, 0.01719, 32.29482
0.30406, 9.82102, -0.12929, 0.00586, 0.02332, 0.01559, 32.39066
0.31843, 9.82341, -0.11013, -0.00746, 0.02505, 0.01386, 32.24690
0.30167, 9.84735, -0.17717, 0.01159, 0.02318, 0.02385, 32.24690
0.31843, 9.82102, -0.10534, 0.01346, 0.03198, 0.02278, 32.43858
0.27294, 9.81862, -0.11253, 0.00160, 0.02585, 0.01958, 32.43858
0.32561, 9.84017, -0.01915, 0.01119, 0.02971, 0.01945, 32.39066
0.35674, 9.84496, -0.18914, -0.01132, 0.02425, 0.01879, 32.39066
0.29209, 9.82820, -0.18435, -0.00866, 0.03078, 0.01892, 32.29482
0.30167, 9.81862, -0.12929, -0.00453, 0.02625, 0.01292, 32.19897
0.32082, 9.83538, -0.05267, -0.02185, 0.02172, 0.01439, 32.39066
0.33758, 9.79468, -0.04310, -0.01892, 0.01892, 0.01572, 32.24690
0.29928, 9.82820, 0.00000, 0.03504, 0.02411, 0.02718, 32.00728
0.30646, 9.85932, -0.07183, -0.00386, 0.02545, 0.01639, 32.43858
0.33040, 9.82580, -0.13886, 0.00266, 0.02771, 0.01652, 32.43858
0.29928, 9.82341, -0.07901, -0.00107, 0.02531, 0.01532, 32.39066
0.31843, 9.79707, -0.05507, 0.02198, 0.02811, 0.01812, 32.77404
0.31843, 9.84975, -0.15562, 0.02705, 0.02518, 0.02558, 32.39066
0.32322, 9.79229, -0.01437, 0.00426, 0.03491, 0.02092, 32.43858
0.37110, 9.84256, -0.09577, 0.00080, 0.03064, 0.02118, 32.19897
0.30885, 9.80905, -0.10295, 0.00373, 0.03291, 0.02118, 32.39066
0.29449, 9.80186, -0.11013, 0.00266, 0.02998, 0.01532, 32.29482
0.32801, 9.83059, -0.05507, 0.00679, 0.02971, 0.01439, 32.39066
0.28012, 9.85932, -0.10534, 0.00400, 0.02585, 0.02132, 32.39066
0.31603, 9.83059, -0.08619, 0.01732, 0.02851, 0.02198, 32.29482
0.30406, 9.79229, -0.12689, 0.01319, 0.03477, 0.03118, 32.24690
0.29928, 9.83299, -0.15323, 0.02678, 0.03464, 0.02718, 32.39066
0.32801, 9.80186, -0.11492, 0.00973, 0.03078, 0.02252, 32.58235
0.29209, 9.79947, -0.08380, -0.01772, 0.01825, 0.00679, 32.39066
0.29688, 9.79468, -0.11492, 0.00999, 0.02665, 0.02438, 32.10312
0.29928, 9.84496, -0.13647, -0.01945, 0.02558, 0.01319, 32.43858
0.33040, 9.78510, -0.12210, -0.00360, 0.02332, 0.01905, 32.29482
0.31364, 9.82341, -0.17478, -0.01825, 0.02345, 0.01399, 32.39066
0.31364, 9.77553, -0.11253, 0.01585, 0.02811, 0.02065, 32.58235
0.33040, 9.84975, -0.15323, -0.00320, 0.02611, 0.01252, 32.39066
0.32322, 9.81383, -0.12689, -0.00933, 0.02238, 0.01839, 32.43858
0.27773, 9.84256, -0.09577, 0.00999, 0.02651, 0.02292, 32.10312
0.33279, 9.84017, -0.09816, -0.00373, 0.02425, 0.01732, 32.24690
0.30646, 9.81144, -0.14844, -0.00586, 0.02238, 0.01532, 32.29482
0.32801, 9.83299, -0.13168, -0.02451, 0.01945, 0.01372, 32.58235
0.32561, 9.82580, -0.13168, 0.00293, 0.02998, 0.01892, 32.39066
0.32801, 9.81862, -0.07661, -0.01159, 0.02252, 0.01839, 32.24690
0.31125, 9.84017, -0.14605, 0.01625, 0.02691, 0.02025, 32.39066
0.28970, 9.80186, -0.16999, -0.00759, 0.02451, 0.01972, 32.39066
0.34955, 9.80186, -0.13886, 0.00986, 0.02931, 0.01492, 32.39066
0.28970, 9.84256, -0.11732, 0.01119, 0.02705, 0.02678, 32.39066
0.28491, 9.80905, -0.10056, 0.00533, 0.02705, 0.02012, 32.24690
0.32322, 9.81862, -0.17238, -0.00759, 0.02651, 0.01919, 32.10312
0.30646, 9.84735, -0.08619, 0.01519, 0.02625, 0.01972, 32.29482
0.31125, 9.78510, -0.11971, 0.00893, 0.02038, 0.02172, 32.29482
0.32561, 9.80905, -0.13886, -0.00799, 0.02931, 0.01466, 32.39066
0.31364, 9.82341, -0.06704, 0.01585, 0.03184, 0.02038, 32.29482
0.30406, 9.80665, -0.18196, -0.01559, 0.03024, 0.00959, 32.29482
0.26336, 9.81144, -0.13168, -0.00493, 0.02625, 0.01492, 32.39066
0.31364, 9.82341, -0.14365, 0.01013, 0.01958, 0.01998, 32.10312
0.32561, 9.84017, -0.09577, 0.00333, 0.02465, 0.01812, 31.91143
0.30646, 9.81623, -0.09577, 0.01239, 0.02105, 0.01945, 32.43858
0.30406, 9.82820, -0.12210, -0.00373, 0.02625, 0.01372, 32.43858
0.32561, 9.85693, -0.07661, -0.00200, 0.03051, 0.01439, 32.39066
0.33758, 9.81862, -0.04070, 0.01026, 0.02665, 0.01652, 32.29482
0.31364, 9.78989, -0.11253, -0.00386, 0.02385, 0.01719, 32.39066
0.30646, 9.84496, -0.10774, -0.00107, 0.02478, 0.01945, 32.29482
0.25139, 9.82820, -0.15562, 0.01372, 0.02411, 0.01759, 32.10312
0.32322, 9.81383, -0.16281, -0.01306, 0.02771, 0.02198, 32.39066
0.30885, 9.82341, -0.14605, 0.02012, 0.03104, 0.02012, 32.58235
0.34477, 9.82820, -0.10534, 0.02225, 0.02438, 0.02078, 32.43858
0.33040, 9.82102, -0.06943, -0.00187, 0.02265, 0.02105, 32.39066
0.34716, 9.84496, -0.08619, 0.00799, 0.02332, 0.02052, 32.10312
0.32801, 9.81623, -0.16999, 0.00000, 0.02505, 0.01519, 32.39066
0.36152, 9.83299, -0.12210, -0.01545, 0.02665, 0.01572, 32.24690
0.36392, 9.81862, -0.06704, 0.00706, 0.02771, 0.01612, 32.24690
0.32561, 9.84975, -0.09577, -0.00200, 0.02944, 0.01386, 32.43858
0.33758, 9.81862, -0.12929, 0.00453, 0.03011, 0.01692, 32.24690
0.30646, 9.85214, -0.13408, 0.01386, 0.02092, 0.01985, 32.39066
0.33040, 9.84256, -0.17478, 0.01426, 0.02745, 0.01852, 32.39066
0.27294, 9.81623, -0.15802, 0.00373, 0.02611, 0.02038, 32.39066
0.30885, 9.82102, -0.11492, 0.01679, 0.03477, 0.02278, 32.39066
0.32082, 9.80905, -0.21069, 0.00560, 0.02185, 0.02571, 32.39066
0.32082, 9.83059, -0.21069, -0.00706, 0.02944, 0.01652, 32.29482
0.30646, 9.75637, -0.07661, 0.00266, 0.02625, 0.01839, 32.39066
0.30646, 9.83778, -0.13886, -0.00546, 0.03064, 0.01932, 32.53443
0.33758, 9.79947, -0.14126, 0.00506, 0.02545, 0.02425, 32.43858
0.32322, 9.85693, -0.11971, 0.00306, 0.02651, 0.01506, 32.39066
0.31843, 9.80905, -0.11492, -0.01159, 0.02758, 0.01612, 32.39066
0.34237, 9.79468, -0.11013, 0.02212, 0.02571, 0.02811, 32.58235
0.30167, 9.85214, -0.17478, -0.00866, 0.02478, 0.01439, 32.43858
0.33758, 9.80665, -0.11971, 0.00027, 0.02731, 0.01599, 32.39066
0.33519, 9.77074, -0.16041, 0.01053, 0.02798, 0.01679, 32.39066
0.31364, 9.82102, -0.12450, -0.00240, 0.02105, 0.01652, 32.29482
0.31843, 9.82580, -0.14844, 0.00733, 0.02212, 0.01772, 32.43858
0.36631, 9.82341, -0.17957, 0.02465, 0.02585, 0.01905, 32.53443
0.35434, 9.83538, -0.13647, 0.00386, 0.02691, 0.01799, 32.43858
0.32082, 9.82102, -0.20590, -0.00746, 0.02705, 0.01599, 32.39066
0.33998, 9.79468, -0.15562, -0.00386, 0.02518, 0.01985, 32.43858
0.35674, 9.84735, -0.14844, 0.00386, 0.02545, 0.01532, 32.58235
0.33519, 9.78989, -0.14844, 0.00413, 0.02411, 0.02265, 32.39066
0.32082, 9.86411, -0.11492, 0.01692, 0.01852, 0.02172, 32.39066
0.30406, 9.84017, -0.16759, 0.01812, 0.02931, 0.01772, 32.53443
0.32801, 9.81144, -0.11971, 0.01053, 0.02931, 0.02172, 32.63028
0.33998, 9.80665, -0.18196, -0.00773, 0.02931, 0.01625, 32.24690
0.31364, 9.82820, -0.19154, 0.00027, 0.02811, 0.02105, 32.24690
0.34716, 9.80905, -0.19632, 0.00040, 0.03251, 0.01372, 32.58235
0.30885, 9.85214, -0.12450, 0.00440, 0.02212, 0.01958, 32.72612
0.33279, 9.81623, -0.19872, -0.00373, 0.03024, 0.01585, 32.58235
0.29688, 9.79468, -0.13647, 0.00200, 0.02611, 0.01932, 32.43858
0.30885, 9.82580, -0.16759, -0.01692, 0.02971, 0.01146, 32.72612
0.31603, 9.78271, -0.09577, 0.03424, 0.02598, 0.02638, 32.39066
0.36152, 9.84017, -0.16281, 0.00173, 0.02638, 0.01998, 32.58235
0.32561, 9.83538, -0.12929, 0.02491, 0.02931, 0.01759, 32.63028
0.27533, 9.78510, -0.17478, 0.00933, 0.03211, 0.02225, 32.58235
0.29688, 9.80665, -0.28012, 0.00626, 0.02638, 0.02558, 32.58235
0.34237, 9.78510, -0.25857, 0.00879, 0.03451, 0.01799, 32.39066
0.29209, 9.81144, -0.19632, -0.02318, 0.02225, 0.00679, 32.39066
0.31603, 9.78031, -0.11492, 0.00520, 0.01812, 0.02252, 32.39066
0.32801, 9.79229, -0.21308, -0.00040, 0.01412, 0.01879, 32.43858
0.35674, 9.83299, -0.20590, 0.00586, 0.02345, 0.01132, 32.43858
0.32561, 9.82580, -0.17717, 0.00413, 0.02132, 0.01252, 32.53443
0.33519, 9.82580, -0.20111, 0.00200, 0.02904, 0.01759, 32.43858
0.30406, 9.82102, -0.16520, 0.02132, 0.03331, 0.02811, 32.29482
0.32801, 9.83538, -0.09577, -0.01998, 0.02385, 0.00373, 32.53443
0.31603, 9.87848, -0.20351, -0.00147, 0.03997, 0.01466, 32.29482
0.28730, 9.81862, -0.10534, 0.00253, 0.03571, 0.01466, 32.63028
0.33040, 9.80426, -0.26576, -0.00506, 0.02691, 0.01199, 32.58235
