ax (m/s^2), ay (m/s^2), az (m/s^2), gx (rps), gy (rps), gz (rps), temp (C)
0.13168, 0.27054, 10.33577, 0.00586, -0.00293, 0.01199, 31.19259
0.08140, 0.24421, 10.32859, 0.00147, 0.00906, 0.01532, 31.24051
0.05986, 0.28252, 10.24958, 0.00813, -0.00520, 0.01439, 31.14467
0.15802, 0.26097, 10.28310, 0.02425, -0.02678, 0.01532, 31.14467
0.12450, 0.27294, 10.24239, 0.00626, 0.01599, 0.01386, 31.14467
0.16520, 0.30406, 10.32380, 0.00560, 0.02571, 0.01079, 31.04882
0.11732, 0.24900, 10.30704, 0.00226, 0.03691, 0.01492, 31.14467
0.11732, 0.25857, 10.27112, 0.00053, 0.02105, 0.01732, 30.80921
0.11732, 0.28970, 10.26873, 0.00000, 0.01892, 0.01652, 31.24051
0.12450, 0.26097, 10.27591, 0.00466, 0.03397, 0.00866, 31.19259
0.09577, 0.28970, 10.28788, 0.00839, 0.04343, 0.00786, 31.00090
0.14126, 0.29688, 10.29746, 0.00693, 0.03158, 0.01266, 31.19259
0.11013, 0.28730, 10.28549, 0.00600, 0.01998, 0.01506, 31.04882
0.09337, 0.20351, 10.27591, 0.00560, 0.03571, 0.01106, 31.19259
0.16999, 0.26336, 10.30464, -0.00053, 0.03517, 0.01372, 31.33636
0.12689, 0.29209, 10.36689, 0.00027, 0.02545, 0.01106, 31.14467
0.12689, 0.30646, 10.36689, 0.00400, 0.03477, 0.00986, 31.04882
0.13647, 0.28252, 10.23521, 0.00306, 0.01679, 0.01079, 31.04882
0.15323, 0.32561, 10.27831, 0.00240, 0.01719, 0.01159, 31.04882
0.13168, 0.28012, 10.33338, 0.00280, 0.03344, 0.01119, 31.14467
0.15323, 0.24660, 10.28310, 0.00160, 0.01386, 0.01186, 31.38428
0.13647, 0.25857, 10.31662, 0.00533, 0.01506, 0.01559, 31.24051
0.15323, 0.25379, 10.31662, 0.00573, 0.02665, 0.01279, 31.24051
0.10056, 0.25618, 10.26394, 0.00240, 0.03371, 0.00879, 31.04882
0.16759, 0.26336, 10.27112, -0.00213, 0.01652, 0.01279, 31.14467
0.12689, 0.26097, 10.29746, -0.00240, 0.03131, 0.00786, 31.04882
0.12689, 0.23703, 10.30464, 0.00719, 0.02425, 0.01346, 31.14467
0.09577, 0.23942, 10.34295, 0.00333, 0.07727, 0.00986, 31.38428
0.14126, 0.27533, 10.35492, 0.00346, -0.00320, 0.01172, 31.14467
0.13886, 0.27533, 10.26155, 0.00280, 0.03357, 0.01426, 31.24051
0.08380, 0.25857, 10.27112, 0.00160, 0.00666, 0.01466, 31.24051
0.09337, 0.29449, 10.34056, 0.01053, 0.03384, 0.01426, 31.38428
0.14365, 0.29449, 10.37886, 0.00480, 0.04130, 0.01559, 31.19259
0.11971, 0.26815, 10.32619, 0.00226, 0.06555, 0.00906, 31.19259
0.14605, 0.31603, 10.32619, 0.00653, 0.02278, 0.01106, 30.85713
0.11013, 0.31364, 10.30225, 0.00426, 0.02025, 0.01399, 31.14467
0.10056, 0.27773, 10.29986, 0.00679, 0.01479, 0.00999, 31.19259
0.07901, 0.26576, 10.24718, 0.00320, 0.03264, 0.00973, 31.38428
0.02155, 0.26336, 10.24479, 0.00506, 0.02145, 0.01519, 31.38428
0.10056, 0.29688, 10.25915, 0.00160, 0.01919, 0.01119, 31.14467
0.08140, 0.26336, 10.23761, 0.00013, 0.03997, 0.00973, 31.33636
0.02634, 0.20590, 10.29267, 0.00386, 0.02305, 0.01506, 31.19259
0.06464, 0.25379, 10.34535, 0.00466, 0.02252, 0.01159, 31.24051
0.10774, 0.28970, 10.29986, 0.00240, 0.02731, 0.01439, 31.14467
0.08140, 0.23463, 10.29746, 0.00493, 0.03264, 0.01452, 31.14467
0.09337, 0.29209, 10.33098, 0.00613, 0.01132, 0.01266, 31.48013
0.06704, 0.29209, 10.28310, 0.00520, -0.00826, 0.01612, 30.95298
0.06943, 0.32082, 10.35971, 0.00333, 0.04850, 0.01319, 31.04882
0.06943, 0.28491, 10.33577, 0.00373, 0.02531, 0.01106, 31.04882
-0.00239, 0.27773, 10.20409, 0.00813, 0.02611, 0.01439, 31.14467
0.03591, 0.27773, 10.26634, 0.00160, 0.04117, 0.01159, 31.38428
0.02394, 0.25379, 10.23282, 0.00187, 0.05569, 0.01412, 31.14467
0.01676, 0.23942, 10.25437, -0.00173, 0.03078, 0.01106, 31.14467
-0.00239, 0.27294, 10.29986, 0.00520, 0.02185, 0.01026, 31.14467
-0.02394, 0.25618, 10.34774, 0.00440, 0.02958, 0.00946, 31.14467
0.05267, 0.30406, 10.31422, 0.00506, 0.04743, 0.01159, 31.38428
-0.01676, 0.27054, 10.28788, -0.00067, 0.03864, 0.01386, 31.14467
0.00239, 0.32082, 10.26634, 0.00120, 0.02545, 0.01332, 31.14467
-0.01676, 0.24421, 10.28310, 0.00027, 0.03784, 0.01159, 31.14467
0.02634, 0.29688, 10.29028, 0.00413, 0.02825, 0.01306, 31.33636
-0.01915, 0.25139, 10.24958, 0.00466, 0.04210, 0.00866, 31.19259
-0.01437, 0.29449, 10.29507, 0.00160, 0.03824, 0.00999, 31.38428
-0.02155, 0.29209, 10.23521, 0.00333, 0.02438, 0.01132, 31.19259
-0.01197, 0.25618, 10.26394, 0.00000, 0.02838, 0.00679, 31.00090
0.01676, 0.23224, 10.32619, -0.00120, 0.03211, 0.01346, 31.04882
-0.09337, 0.28491, 10.31183, 0.00107, 0.03251, 0.01399, 31.14467
