ax (m/s^2), ay (m/s^2), az (m/s^2), gx (rps), gy (rps), gz (rps), temp (C)
10.01255, -0.02394, -0.05028, -0.00679, 0.00773, 0.01612, 32.72612
10.03170, -0.02634, -0.05028, 0.00080, 0.05942, 0.01652, 32.58235
10.01255, -0.02634, -0.09816, 0.00120, 0.01013, 0.01985, 32.53443
10.00297, -0.03112, -0.03831, 0.00080, 0.04543, 0.02145, 32.29482
9.96946, -0.05986, -0.07901, 0.00759, 0.02491, 0.02132, 32.72612
9.99340, -0.02634, -0.05267, 0.00093, 0.05263, 0.01652, 32.63028
9.98143, -0.02155, -0.04788, -0.00053, 0.06742, 0.01839, 32.72612
9.97424, -0.03831, -0.03831, 0.00679, 0.00493, 0.01745, 32.63028
9.97664, -0.03591, 0.00958, 0.00360, 0.00107, 0.01879, 32.58235
9.99100, -0.02634, -0.06225, -0.00027, 0.01252, 0.01532, 32.39066
10.01734, -0.02873, 0.02634, 0.00240, 0.01972, 0.01865, 32.39066
9.97424, -0.02155, -0.07422, 0.00453, 0.04237, 0.01439, 32.53443
10.03649, -0.04549, -0.05507, 0.00240, 0.04703, 0.01812, 32.63028
9.96706, -0.04788, -0.04549, -0.00093, 0.04343, 0.02398, 32.72612
9.98382, -0.05746, 0.03352, 0.00919, 0.01159, 0.02292, 32.72612
10.02452, -0.05267, -0.04070, 0.00799, 0.03757, 0.01612, 32.72612
9.98382, -0.06464, -0.06704, 0.00373, -0.00360, 0.02092, 32.63028
9.98622, -0.05028, 0.00239, 0.00240, -0.00120, 0.01559, 32.58235
9.98861, -0.03831, -0.03352, -0.00640, 0.01159, 0.01159, 32.58235
9.99819, -0.05028, -0.05507, 0.00413, 0.00879, 0.01452, 32.58235
9.96946, -0.05507, -0.00239, 0.00373, 0.02598, 0.01932, 32.72612
9.99819, -0.03831, -0.04549, 0.00426, 0.01559, 0.01852, 32.72612
10.00297, -0.04310, -0.00239, 0.00573, 0.02745, 0.01745, 32.53443
9.97664, -0.05028, -0.01676, 0.00107, 0.02571, 0.01972, 32.43858
9.98143, -0.00239, -0.02634, -0.00346, 0.02305, 0.00973, 32.72612
10.00058, -0.07422, 0.08380, -0.00080, 0.01892, 0.01639, 32.72612
9.99100, -0.04070, -0.02873, 0.01172, 0.03770, 0.01332, 32.72612
10.02452, -0.09098, -0.06704, 0.00626, 0.04530, 0.01239, 32.58235
10.01973, -0.08380, -0.06943, 0.00253, 0.06062, 0.01519, 32.72612
9.97185, -0.04070, 0.05267, 0.00200, 0.04437, 0.01332, 32.58235
9.99579, -0.05267, 0.01915, 0.00653, 0.03224, 0.01239, 32.72612
10.01016, -0.02394, 0.00000, 0.00520, 0.00933, 0.02238, 32.58235
10.00537, -0.04310, 0.00958, 0.00293, 0.03251, 0.01053, 32.58235
10.04846, -0.04788, -0.00479, 0.00333, 0.05942, 0.01639, 32.43858
10.00297, -0.01437, 0.01676, 0.01466, 0.05116, 0.01572, 32.72612
9.98622, -0.04788, -0.06704, 0.00480, 0.01426, 0.01599, 32.58235
10.00297, -0.04549, -0.07661, -0.00187, -0.00107, 0.01799, 32.58235
10.01016, -0.00239, -0.07422, 0.00067, 0.03224, 0.01146, 32.72612
10.01495, -0.04549, 0.01437, 0.00573, 0.01119, 0.01479, 32.72612
10.02213, -0.07422, -0.03591, 0.01412, 0.02851, 0.01119, 32.72612
10.02452, -0.07661, 0.01915, 0.01026, 0.02305, 0.01106, 32.58235
9.98861, -0.04549, 0.00000, 0.00293, 0.03397, 0.01532, 32.39066
9.98622, -0.05267, -0.08619, 0.00413, 0.04703, 0.01226, 32.43858
10.03410, -0.05746, -0.05986, 0.00653, 0.01852, 0.01452, 32.58235
9.97903, -0.04070, -0.01676, 0.00786, -0.03184, 0.01332, 32.58235
9.99100, -0.02873, -0.03831, 0.00600, 0.02998, 0.01719, 32.63028
9.95270, -0.04310, 0.00239, 0.00493, 0.00946, 0.01199, 32.58235
9.90960, -0.04070, 0.00718, 0.00147, 0.00626, 0.00999, 32.43858
10.01734, -0.08380, -0.01676, 0.01319, 0.04996, 0.01053, 32.63028
10.00537, -0.02634, -0.05986, 0.00386, 0.04037, 0.01199, 32.72612
10.02213, -0.04310, -0.04549, 0.00613, 0.02771, 0.01825, 32.43858
10.02692, -0.07661, -0.03352, 0.00986, 0.04636, 0.01039, 32.43858
9.98382, -0.05507, 0.00958, -0.00013, 0.02292, 0.01532, 32.72612
9.96467, -0.00239, -0.01437, 0.00253, 0.03810, 0.01266, 32.72612
9.97903, -0.05267, -0.05267, 0.00573, 0.00759, 0.02065, 32.72612
